ID,N_VICTIMAS,LUGAR_DEL_HECHO,COMUNA,TIPO_DE_CALLE,LONGITUD,LATITUD,VICTIMA,ACUSADO,FATAL,FECHA_Y_HORA
2075,1,"LARRAZABAL Y TONELERO 0, BARRIO: LINIERS  , JURISDICCIÓN COMISARIA:  VECINAL 9B",9,AUTOPISTA,-58.514654,-34.64153,PEATON,SD,False,2019-01-04 17:11:00
2076,1,"CHORROARIN AV. 300, BARRIO: AGRONOMIA  , JURISDICCIÓN COMISARIA:  VECINAL 15C",15,AVENIDA,-58.477241,-34.595179,MOTO,CICLISTA,False,2019-01-04 16:00:00
2077,1,"COCHABAMBA Y LINIERS VIRREY 0, BARRIO: BOEDO  , JURISDICCIÓN COMISARIA:  VECINAL 5B",5,AVENIDA,-58.413443,-34.626664,AUTO,PEATON,False,2019-01-04 19:21:00
2078,2,"DE LOS CONSTITUYENTES AV. 3185, BARRIO: PARQUE CHAS  , JURISDICCIÓN COMISARIA:  VECINAL 15C",15,AVENIDA,-58.479158,-34.590782,SD,SD,False,2019-01-04 19:33:00
2079,2,"AUT. DELLEPIANE ALTURA CRUCE CON LA CALLE TIMOTEO GORDILLO , BARRIO: NO ESPECIFICADA  , JURISDICCIÓN COMISARIA:",SD,AVENIDA,-58.466528,-34.589111,AUTO,PEATON,False,2019-01-04 17:53:00
2080,1,"CORRIENTES AV. Y OLLEROS 0, BARRIO: CHACARITA  , JURISDICCIÓN COMISARIA:  VECINAL 15A",15,CALLE,-58.453898,-34.58744,PEATON,TRANSPORTE_PUBLICO,False,2019-01-04 05:35:00
2081,1,"DIAZ VELEZ AV. 5152, BARRIO: CABALLITO  , JURISDICCIÓN COMISARIA:  VECINAL 6A",6,CALLE,-58.439337,-34.608879,MOTO,PEATON,False,2019-01-04 20:00:00
2082,3,"LACROZE, FEDERICO AV. 4100, BARRIO: CHACARITA  , JURISDICCIÓN COMISARIA:  VECINAL 15A",15,CALLE,-58.454242,-34.585794,SD,SD,False,2019-01-04 20:47:00
2083,1,"PAZ, GRAL. AV. Y NAZARRE 0, BARRIO: VILLA REAL  , JURISDICCIÓN COMISARIA:  VECINAL 10B",10,AVENIDA,-58.529911,-34.625715,MOTO,PEATON,False,2019-01-04 22:01:00
2084,1,"CORDOBA AV. Y DORREGO AV. 0, BARRIO: PALERMO  , JURISDICCIÓN COMISARIA:  VECINAL 15A",15,AUTOPISTA,-58.444788,-34.584513,PEATON,SD,False,2019-01-04 18:15:00
2085,1,"ALVAREZ THOMAS AV. 625, BARRIO: COLEGIALES  , JURISDICCIÓN COMISARIA:  VECINAL 13C",13,CALLE,-58.451299,-34.58028,PEATON,SD,False,2019-01-04 22:27:00
2086,1,"GOMEZ, JUAN CARLOS Y FINOCHIETTO ENRIQUE DR. 0, BARRIO: PARQUE PATRICIOS  , JURISDICCIÓN COMISARIA:  VECINAL 4A",4,AVENIDA,-58.391554,-34.635687,AUTO,PEATON,False,2019-01-04 23:47:00
2087,1,"BAIGORRIA Y CERVANTES 0, BARRIO: MONTE CASTRO  , JURISDICCIÓN COMISARIA:  VECINAL 10A",10,AVENIDA,-58.514329,-34.617879,PEATON,TRANSPORTE_PUBLICO,False,2019-01-04 21:00:00
2088,1,"SAN JUAN AV. Y JUJUY AV. 0, BARRIO: SAN CRISTOBAL  , JURISDICCIÓN COMISARIA:  VECINAL 3B",3,AVENIDA,-58.402176,-34.623778,TRANSPORTE_PUBLICO,PEATON,False,2019-01-04 15:00:00
2089,1,"CORDOBA AV. Y ACUÑA DE FIGUEROA, FRANCISCO 0, BARRIO: ALMAGRO  , JURISDICCIÓN COMISARIA:  VECINAL 14A",14,AVENIDA,-58.421782,-34.597734,MOTO,PEATON,False,2019-01-04 16:00:00
2090,1,"COSQUIN Y FERNANDEZ DE LA CRUZ, F., GRAL. AV. 0, BARRIO: VILLA RIACHUELO  , JURISDICCIÓN COMISARIA:  VECINAL 8C",8,CALLE,-58.474577,-34.68688,SD,SD,False,2019-01-04 22:10:00
2091,1,"SUPERI Y CONGRESO AV. 0, BARRIO: COGHLAN  , JURISDICCIÓN COMISARIA:  VECINAL 12C",12,AVENIDA,-58.4727,-34.560778,SD,SD,False,2019-01-04 21:30:00
2092,1,"MEXICO Y JUJUY AV. 0, BARRIO: BALVANERA  , JURISDICCIÓN COMISARIA:  VECINAL 3B",3,CALLE,-58.404144,-34.617043,SD,SD,False,2019-01-04 14:28:00
2093,1,SD,SD,AVENIDA,-58.452622000000005,-34.626874,CICLISTA,PEATON,False,2019-01-05 09:30:00
2094,1,"YERBAL Y VIRGILIO 0, BARRIO: VILLA LURO  , JURISDICCIÓN COMISARIA:  VECINAL 10C",10,CALLE,-58.5011,-34.636705,CICLISTA,MOTO,False,2019-01-05 13:40:00
2095,1,"LA RIOJA Y CHILE 0, BARRIO: BALVANERA  , JURISDICCIÓN COMISARIA:  VECINAL 3B",3,AVENIDA,-58.407935,-34.618887,CICLISTA,MOTO,False,2019-01-05 23:30:00
2096,1,"RIVADAVIA AV. 3578, BARRIO: ALMAGRO  , JURISDICCIÓN COMISARIA:  VECINAL 5A",5,CALLE,-58.416892,-34.610987,SD,SD,False,2019-01-05 00:22:00
2097,3,"ALCORTA, AMANCIO AV. Y OCHOA, ENRIQUE 0, BARRIO: NUEVA POMPEYA  , JURISDICCIÓN COMISARIA:  VECINAL 4B",4,CALLE,-58.412835,-34.655086,TRANSPORTE_PUBLICO,PEATON,False,2019-01-05 06:28:00
2098,1,"AUTOPISTA 25 DE MAYO Y CATAMARCA 0, BARRIO: SAN CRISTOBAL  , JURISDICCIÓN COMISARIA:  VECINAL 3B",3,AVENIDA,-58.403052,-34.625845,AUTO,PEATON,False,2019-01-05 09:34:00
2099,1,"ESTADOS UNIDOS 1887, BARRIO: SAN CRISTOBAL  , JURISDICCIÓN COMISARIA:  VECINAL 3B",3,AVENIDA,-58.392912,-34.619174,PEATON,SD,False,2019-01-05 08:20:00
2100,1,"PAZ, GRAL. AV. Y NOGOYA 0, BARRIO: VERSALLES  , JURISDICCIÓN COMISARIA:  VECINAL 10B",10,AVENIDA,-58.529805,-34.627034,SD,SD,False,2019-01-05 11:00:00
2101,1,"GARCIA, JUAN AGUSTIN 4786, BARRIO: VELEZ SARSFIELD  , JURISDICCIÓN COMISARIA:  VECINAL 10A",10,AUTOPISTA,-58.501286,-34.622979,MOTO,PEATON,False,2019-01-05 11:53:00
